id,_record_active,Org Name,Org ABN,Org Main Phone,Org Website,Org Industry,Org Addr Street 1,Org Addr Street 2,Org Addr Suburb,Org Addr State,Org Addr PC,Org Addr Country,Org Addr Postal Street 1,Org Addr Postal Street 2,Org Addr Postal Suburb,Org Addr Postal State,Org Addr Postal PC,Org Addr Postal Country,Org Addr for Invoice,Org Group Status,Org Group Parent,Org Group Parent ID,Org ActiveStatus,Org Business Search Words
2,1,10X Ltd,,08-8373-0205,www.10x.com.au,Professional services,Level 1,5 King William Rd,Unley,SA,5061,Australia,Level 1,5 King William Rd,Unley,SA,5061,Australia,,Parent,10X Ltd,2,Active,
3,1,1300 Business Process Outsorcing,,02-8295-0206,http://www.1300bpo.com,Labour hire/ outsourcing,,,,NSW,2000,Australia,,,,NSW,2000,Australia,,,,,Active,
4,1,2ic Management Pty Limited,,08-8239-0122,www.2icmanagement.com.au,Financial services,183 Melbourne Street,,North Adelaide,SA,5006,Australia,183 Melbourne Street,,North Adelaide,SA,5006,Australia,,,,,Active,
5,1,2ic Software Pty Ltd,,08-8111-4600,http://www.2icsoftware.com,Information technology,Area 4,44 Nelson Street,Stepney,SA,5069,Australia,Area 4,44 Nelson Street,Stepney,SA,5069,Australia,,,,,Active,
6,1,7-Eleven,,,,Retailing,,,Adelaide,SA,5000,Australia,,,Adelaide,SA,5000,Australia,,,,,Active,
7,1,A.Alexander Tees,,02-9281-3230,www.trustdeedregister.com,Information technology,74/78 William Street,,Sydney,NSW,2000,Australia,74/78 William Street,,Sydney,NSW,2000,Australia,,,,,Active,
8,1,Abilita Services Pty Ltd,,13-0085-8355,www.abilita.net.au,Employment/ Workcover Rehabilitation,GPO Box 3023,,Darwin,NT,801,Australia,GPO Box 3023,,Darwin,NT,801,Australia,,,,,Active,
9,1,Absolute Financial,,02-9264-3307,,Financial services,Level 4,143 York Street,Sydney,NSW,2000,Australia,Level 4,143 York Street,Sydney,NSW,2000,Australia,,,,,Active,
10,1,Acacia Hills Farm,,08-8988-1467,,Farming and agriculture,16 Kakadu Circuit,,Banksia Beach,QLD,4507,Australia,PO Box 610,,Bribie Island,QLD,4507,Australia,,Parent,Acacia Hills Farm,10,Active,
11,1,Accountable Financial Group,,,,Financial services,,,,,,,,,,,,,,,,,Active,
12,1,Accru Chartered Accountants,,08-8431-1488,,Financial services,172 Fullarton Road,,Dulwich,SA,5065,Australia,172 Fullarton Road,,Dulwich,SA,5065,Australia,,,,,Active,
13,1,ACT Hire,,08-8260-5187,,Building and construction,348 Cormack Road,,Wingfield,SA,5013,Australia,348 Cormack Road,,Wingfield,SA,5013,Australia,,,,,Active,
14,1,Active Capital Partners,,,www.activecap.com.au,Financial services,,,,NSW,2000,,,,,NSW,2000,,,,,,Active,
15,1,Active Operations Managment,,08-8361-2004,,Professional services,231 Kensington Road,,Kensington,SA,5068,Australia,231 Kensington Road,,Kensington,SA,5068,Australia,,,,,Active,
16,1,Acumen Ventures,,,,Venture capital,,,,,,,,,,,,,,,,,Active,
17,1,Adam Griffiths & Associates,,08-8431-4987,,Professional services,PO Box 315,,Fullarton,SA,5063,Australia,PO Box 315,,Fullarton,SA,5063,Australia,,,,,Active,
19,1,Adams Pluck,,,,Professional services,,,,,,,,,,,,,,,,,Active,Patent Law Firm
20,1,Adcorp,,,,Real estate/ property developer,,,,,,,,,,,,,,,,,Active,Real Estate Agent
21,1,Bendigo Adelaide Bank Limited,,08-8225-2475,,Bank,169 Pirie Street,,Adelaide,SA,5000,Australia,169 Pirie Street,,Adelaide,SA,5000,Australia,,,,,Active,
22,1,Adelaide Build Assist,,,,Building and construction,,,,,,,,,,,,,,,,,Active,
23,1,Adelaide City Council,,08-8203-7816,www.adelaidecitycouncil.com,Government (inc Local),25 Pirie Street,,Adelaide,SA,5000,Australia,25 Pirie Street,,Adelaide,SA,5000,Australia,,,,,Active,Government
24,1,Adelaide Control Engineering,,08-8234-0255,www.adlcontrol.com.au,Engineering,37 Queen Street,,Thebarton,SA,5031,Australia,37 Queen Street,,Thebarton,SA,5031,Australia,,,,,Active,
25,1,Adelaide Flight Training Centre,,,,Education/ training provider,,,,,,,,,,,,,,,,,Active,
26,1,Adelaide Interim,,,www.adelaideinterim.com.au,Professional services,PO Box 696,,North Adelaide,SA,5006,Australia,PO Box 696,,North Adelaide,SA,5006,Australia,,,,,Active,provides business consulting and specialist interim management
27,1,Adelaide Mushrooms,,08-8534-4257,,Farming and agriculture,RSD 50,,Callington,SA,5254,Australia,RSD 50,,Callington,SA,5254,Australia,,,,,Active,
28,1,Adelaide Truck Training Centre,,08-8244-4374,,Education/ training provider,PO Box 2404,,Regency Park,SA,5942,Australia,PO Box 2404,,Regency Park,SA,5942,Australia,,,,,Active,
29,1,Adelaide University,,,,Education/ training provider,,,Adelaide,SA,5000,Australia,,,Adelaide,SA,5000,Australia,,,,,Active,
30,1,Adelta Legal,,,,Professional services,,,,,,,,,,,,,,,,,Active,
31,1,Advanced Algal Technologies Limited,,,,Manufacturing,759 Windsor Road,,Box Hill,NSW,2765,Australia,759 Windsor Road,,Box Hill,NSW,2765,Australia,,,,,Active,
32,1,Advanced Plastic Recycling,,,,Manufacturing,9/500 Churchill Road,,Kilburn,SA,5084,Australia,* Private & Confidential *,By email only: ryan@a-p-r.com.au,,,,,Postal,Parent,Advanced Plastic Recycling,32,Active,
33,1,Advantage One (SA) Pty Ltd,,08-8333-1944,http://www.advantageone.com.au/,Financial services,83 Fullarton Road,,Kent Town,SA,5067,Australia,83 Fullarton Road,,Kent Town,SA,5067,Australia,,,,,Active,
34,1,AET Limited,,02-9028-1051,www.aetlimited.com.au,Professional services,Level 22,207 Kent Street,Sydney,NSW,2000,Australia,Level 22,207 Kent Street,Sydney,NSW,2000,Australia,,,,,Active,
35,1,AFM Advisers Pty Ltd,,02-9363-9511,,Financial services,"Suite 410, Level 4",203-233 New South Head Road,Edgecliff,NSW,2027,Australia,"Suite 410, Level 4",203-233 New South Head Road,Edgecliff,NSW,2027,Australia,,,,,Active,
36,1,AFTC: Adelaide Flight Training Centre,,08-8209-4355,,Education/ training provider,Hangar 54,Kittyhawk Lane,Parafield Airport,SA,5106,Australia,Hangar 54,Kittyhawk Lane,Parafield Airport,SA,5106,Australia,,,,,Active,
37,1,Aircraft Support Industries,,02-9976-0188,www.asiglobal.net,Aviation,Suite 201,39 East Esplanade,Manly,NSW,2095,Australia,Suite 201,39 East Esplanade,Manly,NSW,2095,Australia,,,,,Active,
38,1,AITEC,,08-8232-9688,http://www.aitec.edu.au,Education/ training provider,Unit 4,122 Carrington Street,Adelaide,SA,5000,Australia,Unit 4,122 Carrington Street,Adelaide,SA,5000,Australia,,Parent,AITEC,38,Active,
39,1,Aitken Lawyers Pty Ltd,,02-8987-0000,www.aitkenlawyers.com.au,Professional services,Level 4,17 Castlereagh Street,SYDNEY,NSW,2000,Australia,Level 4,17 Castlereagh Street,SYDNEY,NSW,2000,Australia,,,,,Active,
40,1,AJF Professional Services Pty Ltd,,08-8265-2528,www.ajfprofessionals.com.au,Professional services,636 Milne Road,,Bansia Park,SA,5091,Australia,636 Milne Road,,Bansia Park,SA,5091,Australia,,,,,Active,
42,1,Alderman Redman Family Lawyers and Mediators,,08-8212-5186,,Professional services,Ground Floor,345 King William Street,Adelaide,SA,5000,Australia,Ground Floor,345 King William Street,Adelaide,SA,5000,Australia,,,,,Active,
44,1,Alexa Property Group,,,,Real estate/ property developer,,,,,,,,,,,,,,,,,Active,
45,1,Altus Financial,,02-8908-3444,,Financial services,Level 12,10 Spring Street,Sydney,NSW,2000,Australia,Level 12,10 Spring Street,Sydney,NSW,2000,Australia,,,,,Active,
46,1,Amber Asia,,,,Professional services,,,,,,,,,,,,,,,,,Active,
47,1,Amcom,,08-8236-2600,,Information technology,Level 6,97 Pirie Street,Adelaide,SA,5000,Australia,Level 6,97 Pirie Street,Adelaide,SA,5000,Australia,,,,,Active,
48,1,Amcor Cartons,,08-8444-8893,www.amcor.com,Manufacturing,16 Birralee Road,,Regency Park,SA,5010,Australia,16 Birralee Road,,Regency Park,SA,5010,Australia,,,,,Active,
49,1,American Energy Future,,,,Marketing,,,,,,,,,,,,,,,,,Active,
50,1,AMM Technologies,,,www.ammtechnologies.com.au,Manufacturing,9 Darwendale Street,,Huntfield Heights,SA,5163,Australia,9 Darwendale Street,,Huntfield Heights,SA,5163,Australia,,,,,Active,
51,1,Ammjohn Pty Ltd,,08-8172-0918,www.ammjohn.com.au,Engineering,Level 1,132 Greenhill Road,Unley,SA,5061,Australia,Level 1,132 Greenhill Road,Unley,SA,5061,Australia,,,,,Active,
52,1,AMP Financial Planning - NSW,,02-9290-3808,,Financial services,"Suite 902, Level 9",65 York Street,Sydney,NSW,2000,Australia,"Suite 902, Level 9",65 York Street,Sydney,NSW,2000,Australia,,,,,Active,
53,1,Anchor National Financial Planning,,,,Financial services,,,,,,,,,,,,,,,,,Active,
54,1,Anderson Planners,,08-8342-0688,www.andersonplan.com.au,Financial services,113 Walkerville Terrace,,Walkerville,SA,5081,Australia,113 Walkerville Terrace,,Walkerville,SA,5081,Australia,,,,,Active,
55,1,Andersons Solicitors,,08-8238-6666,,Professional services,69 Franklin Street,,Adelaide,SA,5000,Australia,69 Franklin Street,,Adelaide,SA,5000,Australia,Street,Parent,Andersons Solicitors,55,Active,
57,1,Andreyev Lawyers,,13-0065-4590,www.andreyev.com.au,Professional services,Level 4,29 King William Street,Adelaide,SA,5000,Australia,Level 4,29 King William Street,Adelaide,SA,5000,Australia,Postal,Parent,Andreyev Lawyers,57,Active,
61,1,ANREPS,,13-0088-6976,www.anrepssa.com.au,Real estate/ property developer,Level 2,255 Pulteney Street,Adelaide,SA,5000,Australia,Level 2,255 Pulteney Street,Adelaide,SA,5000,Australia,,,,,Active,
62,1,Anson Solutions Pty Ltd,,08-8218-4068,www.ansonssolutions.com.au,Engineering,PO Box 205,,North Adelaide,SA,5006,Australia,PO Box 205,,North Adelaide,SA,5006,Australia,,,,,Active,
63,1,Answering Adelaide,,,,Professional services,,,,,,,,,,,,,,,,,Active,
65,1,Anthony Koon & Associates,,08-8357-1000,,Professional services,Level 1,18 Greenhill Road,Wayville,SA,5034,Australia,Level 1,18 Greenhill Road,Wayville,SA,5034,Australia,,Parent,Anthony Koon & Associates,65,Active,
67,1,ANZ Bank Limited,,,,Bank,,,,,,,,,,,,,,,,,Active,
68,1,ANZ Wealth Legal Services,,03-8685-5420,www.anz.com,Professional services,Level 42,55 Collins Street,Melbourne,Vic,3000,Australia,Level 42,55 Collins Street,Melbourne,Vic,3000,Australia,,Parent,ANZ Wealth Legal Services,68,Active,
70,1,AOPA Insurance,,,,Insurance Broker,,,,,,,,,,,,,,,,,Active,
71,1,APG Nominees,,02-9880-7701,,Financial services,38 Owen Street,,East Lindfield,NSW,2070,Australia,38 Owen Street,,East Lindfield,NSW,2070,Australia,,,,,Active,
72,1,Apollo Transport,,,,Transport and logistics,,,,,,,,,,,,,,,,,Active,
73,1,Apple - Adelaide,,08-7088-5320,,Retailing,77-90 Rundle Mall,,Adelaide,SA,5000,Australia,77-90 Rundle Mall,,Adelaide,SA,5000,Australia,,,,,Active,
74,1,APS Real Estate Pty Ltd,,,,Real estate/ property developer,,,,,,,,,,,,,,,,,Active,
75,1,Architects Ink,,08-8344-8170,www.architechtsink.com.au,Building and construction,Level 1,77 King William Street,Kent Town,SA,5067,Australia,Level 1,77 King William Street,Kent Town,SA,5067,Australia,,,,,Active,
76,1,Aretzis Group,,,,Real estate/ property developer,,,,,,,,,,,,,,,,,Active,
77,1,Argo Investments Limited,,08-8212-2055,www.argoinvestments.com.au,Financial services,Level 12,19 Grenfell Street,Adelaide,SA,5000,Australia,Level 12,19 Grenfell Street,Adelaide,SA,5000,Australia,,,,,Active,
78,1,Arkig,,,,*,,,,,,,,,,,,,,,,,Active,
79,1,Armstrong Partners,,03-9695-5500,,Professional services,,,,,,,,,,,,,,,,,Active,
80,1,Arrive Wealth Management,,02-8266-5840,www.arrive.com.au,Financial services,Tower 2 201 Sussex Street,,Sydney,NSW,1171,Australia,Tower 2 201 Sussex Street,,Sydney,NSW,1171,Australia,,,,,Active,
81,1,Arup Project Management,,08-8413-6500,,Professional services,Level 2 Optus Centre,431- 439 King William Street,Adelaide,SA,5000,Australia,Level 2 Optus Centre,431- 439 King William Street,Adelaide,SA,5000,Australia,,,,,Active,
84,1,Ashmore Homes,,,,Building and construction,,,,,,,,,,,,,,,,,Active,
85,1,Asia Pacific Group,,03-9863-7317,,Real estate/ property developer,Level 1,1 Queens Road,Melbourne,Victoria,3004,Australia,Level 1,1 Queens Road,Melbourne,Victoria,3004,Australia,,,,,Active,
86,1,Asia Principal Capital Pty Limited,,02-8578-9300,www.apcl.com,Financial services,Level 18,201 Kent Street,Sydney,NSW,2000,Australia,Level 18,201 Kent Street,Sydney,NSW,2000,Australia,,,,,Active,
87,1,Asian Pacific Group,,03-9863-7333,,Real estate/ property developer,Level 4,100 Dorcas Street,South Melbourne,VIC,3205,Australia,Level 4,100 Dorcas Street,South Melbourne,VIC,3205,Australia,,,,,Active,
88,1,ASIC,,08-8202-8400,,Government (inc Local),Level 8,100 Pirie Street,Adelaide,SA,5000,Australia,Level 8,100 Pirie Street,Adelaide,SA,5000,Australia,,,,,Active,
89,1,Asset Conveyancing Services,,,,Conveyancer,"Unit 2, 286 Kensington Road",,Leabrook,SA,5068,Australia,"Unit 2, 286 Kensington Road",,Leabrook,SA,5068,Australia,Street,,,,Active,
90,1,Assist Finance,,,,Financial services,,,,,,,,,,,,,,,,,Active,
91,1,Assured Home Loans,,08-8360-0200,www.assuredhomeloans.com.au,Financial services,341 North East Road,,HILLCREST,SA,5086,Australia,341 North East Road,,HILLCREST,SA,5086,Australia,,,,,Active,
92,1,Atanasov Audit & Consulting,,02-9588-2055,,Professional services,Level 1,15A Regent Street,KOGARAH,NSW,2217,Australia,Level 1,15A Regent Street,KOGARAH,NSW,2217,Australia,,,,,Active,
93,1,Atco Power Australia Pty Ltd,,08-8223-2455,www.atcopower.com.au,Utilities,Level 1,104 Frome Street,Adelaide,SA,5000,Australia,Level 1,104 Frome Street,Adelaide,SA,5000,Australia,,,,,Active,
94,1,ATEC,,08-8444-1600,www.atec.asn.au,Education/ training provider,275 Grand Junction Road,,Ottoway,SA,5013,Australia,275 Grand Junction Road,,Ottoway,SA,5013,Australia,,,,,Active,
95,1,Atlassian,,,,Information technology,1203/42 Refinery Drive,,Pyrmont,NSW,2009,Australia,1203/42 Refinery Drive,,Pyrmont,NSW,2009,Australia,,,,,Active,
96,1,Atrico,,08-9226-4390,www.atrico.com.au,Professional services,Level 389 St Georges Terrace,89 St Georges Terrace,Perth,WA,6000,Australia,Level 389 St Georges Terrace,89 St Georges Terrace,Perth,WA,6000,Australia,,,,,Active,
97,1,Attorney Generals Department,,,,Government (inc Local),,,,,,,,,,,,,,,,,Active,
98,1,Audrey Page & Associates,,02-9262-6711,http://www.apage.com.au,Professional services,,,,NSW,2000,Australia,,,,NSW,2000,Australia,,,,,Active,
99,1,Ausasia Group,,08-8833-3446,,Transport and logistics,Unit 1,195-196 Fullarton Road,Dulwich,SA,5065,Australia,Unit 1,195-196 Fullarton Road,Dulwich,SA,5065,Australia,,,,,Active,
100,1,Auscas Medical Pty Ltd,,08-8132-1553,,Medical and related services,54 Eighth Avenue,,St Peters,SA,5069,Australia,54 Eighth Avenue,,St Peters,SA,5069,Australia,,,,,Active,
101,1,Auscold Logistics,,,,Transport and logistics,51-53 Diagonal Road,,Pooraka,SA,5095,Australia,51-53 Diagonal Road,,Pooraka,SA,5095,Australia,Street,Parent,Auscold Logistics,101,Active,
102,1,aussiedivorce.com.au,,,,Professional services,,,,,,,,,,,,,,,,,Active,
103,1,AussieLegal Pty Limited,,13-0072-8200,www.AussieLegal.com.au,Professional services,Suite 203,156 Military Road,Neutral Bay,NSW,2089,Australia,Suite 203,156 Military Road,Neutral Bay,NSW,2089,Australia,,,,,Active,
104,1,Austax Accounting Services Pty Ltd,,,,Financial services,Level 8 80 Clarence Street,,Sydney,NSW,2000,Australia,Level 8 80 Clarence Street,,Sydney,NSW,2000,Australia,,,,,Active,
105,1,Austereo,,08-8290-1057,,Entertainment,128 Greenhill Road,,Unley,SA,5061,Australia,128 Greenhill Road,,Unley,SA,5061,Australia,,,,,Active,
106,1,Austral Property Consultants,,02-9976-0559,,Real estate/ property developer,,,Sydney,NSW,2000,Australia,,,Sydney,NSW,2000,Australia,,,,,Active,
107,1,AustralAsian BioSecurity,,,,Transport and logistics,1 Main Terrace,,Richmond,SA,5033,Australia,1 Main Terrace,,Richmond,SA,5033,Australia,,,,,Active,
108,1,Australia Capital Investment Management Pty Ltd,,02-8069-8065,www.acim.acapital.com.au,Professional services,Level 10,68 Alfred Street,Milsons Point,NSW,2061,Australia,Level 10,68 Alfred Street,Milsons Point,NSW,2061,Australia,,,,,Active,
109,1,Australia Green Group Pty Ltd,,,,Manufacturing,14b St Albans Drive,,Burnside,SA,5066,Australia,14b St Albans Drive,,Burnside,SA,5066,Australia,,,,,Active,
110,1,Australian Direct Investments Pty Ltd as trustee for the ADI Super Fund,,02-8248-8822,,Super Fund,111 Windsor Street,,Paddington,NSW,2021,Australia,111 Windsor Street,,Paddington,NSW,2021,Australia,,,,,Active,
111,1,Australian Executor Trustees Limited,,,,Professional services,,,,,,,,,,,,,,,,,Active,
112,1,Australian Franchising Corporation,,13-0065-6141,www.bridgepointgroup.com.au,*,Level 13,52 Alfred Street,Milsons Point,NSW,2061,Australia,Level 13,52 Alfred Street,Milsons Point,NSW,2061,Australia,,,,,Active,
113,1,Australian Government,,,,Government (inc Local),,,,,,,,,,,,,,,,,Active,
114,1,Australian Marriage Equality,,,,Professional services,,,,,,,,,,,,,,,,,Active,
115,1,Australian Minerals and Resources,,,,Mining,,,,,,,,,,,,,,,,,Active,
116,1,Australian Oils of Nature,,,,Manufacturing,,,,,,,,,,,,,,,,,Active,
117,1,Australian Outdoor Living,,08-8229-7000,www.australianoutdoorliving.com.au,Retailing,23 Frederick Road,,Royal Park,SA,5014,Australia,23 Frederick Road,,Royal Park,SA,5014,Australia,,,,,Active,
118,1,Australian SMSF Members Association,,,,Industry Association,,,,NSW,2000,,,,,NSW,2000,,,,,,Active,
119,1,Australian Taxation Office,,,,Government (inc Local),,,,,,,,,,,,,,,,,Active,
120,1,Australian Unity Personal Finanical Services Ltd,,03-8682-6344,,Financial services,Level 8,114 Albert Road,SOUTH MELBOURNE,VIC,3205,Australia,Level 8,114 Albert Road,SOUTH MELBOURNE,VIC,3205,Australia,,,,,Active,
121,1,Australianbiz Pty Ltd,,02-9979-8880,,Information technology,,,Sydney,NSW,2000,Australia,,,Sydney,NSW,2000,Australia,,,,,Active,
122,1,australpc.com,,,,*,,,,,,,,,,,,,,,,,Active,
123,1,Auszac EcoBalsa,,,,Retailing,11 Emanuel Court,,Melrose Park,SA,5039,,11 Emanuel Court,,Melrose Park,SA,5039,,,,,,Active,
124,1,AVJennings,,08-8300-0703,www.avjennings.com.au,Real estate/ property developer,226 Greenhill Road,,Eastwood,SA,5063,Australia,226 Greenhill Road,,Eastwood,SA,5063,Australia,,,,,Active,
125,1,AXA Financial Planning Gold Coast,,07-5665-3201,,Financial services,Southport Central Tower I Level 8,56 Scarborough Street,Southport,QLD,4215,Australia,Southport Central Tower I Level 8,56 Scarborough Street,Southport,QLD,4215,Australia,,,,,Active,
127,1,Azure Group,,02-9238-1188,www.azuregroup.com.au,Financial services,Level 12,280 George Street,SYDNEY,NSW,2000,Australia,Level 12,280 George Street,SYDNEY,NSW,2000,Australia,,,,,Active,
128,1,B & M Sheet Metal Pty Ltd,,02-9316-5300,,Building and construction,1551 Botany Road,,Botany,NSW,2019,Australia,1551 Botany Road,,Botany,NSW,2019,Australia,,,,,Active,
129,1,B.P.Woodward & Associates,,02-9299-3603,www.woodwards.com.au,Financial services,Level 5,83 York St,Sydney,NSW,2000,Australia,Level 5,83 York St,Sydney,NSW,2000,Australia,,,,,Active,
130,1,Baggio & Co.,,08-8132-5000,,Professional services,1 Dequetteville Terrace,,Kent Town,SA,5067,Australia,1 Dequetteville Terrace,,Kent Town,SA,5067,Australia,,Parent,Baggio & Co.,130,Active,
131,1,Bailey Roberts,,,,Financial services,,,Sydney,NSW,2000,Australia,,,Sydney,NSW,2000,Australia,,,,,Active,
132,1,Baker & McKenzie,,,,Professional services,,,,,,,,,,,,,,,,,Active,
133,1,Baker Young,,08-8236-8861,www.bakeryoung.com.au,Financial services,Level 6,121 King William Street,Adelaide,SA,5000,Australia,Level 6,121 King William Street,Adelaide,SA,5000,Australia,,,,,Active,
134,1,Bambrick Legal,,08-8362-5269,,Professional services,Suite 12,15 Fullarton Road,Kent Town,SA,5067,Australia,Suite 12,15 Fullarton Road,Kent Town,SA,5067,Australia,,,,,Active,
135,1,Bank of Queensland,,08-8402-4155,www.boq.com.au,Bank,151 Pirie Street,,Adelaide,SA,5000,Australia,151 Pirie Street,,Adelaide,SA,5000,Australia,,,,,Active,
136,1,Bank SA,,08-8424-4453,www.banksa.privatebank.com.au,Bank,Level 1,97 King William Street,Adelaide,SA,5000,Australia,Level 1,97 King William Street,Adelaide,SA,5000,Australia,,,,,Active,
137,1,BankWest,,08-8419-1518,www.bankwest.com.au/business,Bank,Level 5,151 Pirie Street,Adelaide,SA,5000,Australia,Level 5,151 Pirie Street,Adelaide,SA,5000,Australia,,,,,Active,
138,1,Bantry Holdings Pty Ltd,,,,Financial services,Suite 1,872 Military Road,Mosman,NSW,2088,Australia,Suite 1,872 Military Road,Mosman,NSW,2088,Australia,,,,,Active,
140,1,MM Financial Consultants,,,,Financial services,Unit 12,168 Melbourne Street,North Adelaide,SA,5006,Australia,Unit 12,168 Melbourne Street,North Adelaide,SA,5006,Australia,,,,,Active,
141,1,Bartier Perry Solicitors,,,,Professional services,,,,NSW,2000,,,,,NSW,2000,,,,,,Active,
142,1,Bartons Chartered Accountants,,08-8294-4744,www.bartons.com.au,Financial services,596 Anzac Highway,,Glenelg East,SA,5045,Australia,596 Anzac Highway,,Glenelg East,SA,5045,Australia,,,,,Active,
143,1,Bartons Growth SolutionsBartter Enterprises Pty Ltd,,02-8870-0008,,Financial services,Level 2,1 Julius Avenue,North Ryde,NSW,2113,Australia,Level 2,1 Julius Avenue,North Ryde,NSW,2113,Australia,,,,,Active,
144,1,Bassett Consulting Engineers,,08-8418-1000,www.bassett.com.au,Engineering,Level 6,100 Pirie Street,Adelaide,SA,5000,Australia,Level 6,100 Pirie Street,Adelaide,SA,5000,Australia,,,,,Active,
145,1,Batten Sacks Harvey Bruce Lawyers,,08-8680-5555,,Professional services,"Suite 12, Level 6",24 Albert Road,South Melbourne,Vic,3205,Australia,"Suite 12, Level 6",24 Albert Road,South Melbourne,Vic,3205,Australia,,Parent,Batten Sacks Harvey Bruce Lawyers,145,Active,
146,1,Baylink Consulting,,,,Professional services,,,Melbourne,VIC,3000,,,,Melbourne,VIC,3000,,,,,,Active,
147,1,BCFR Chartered Accountants,,08-8267-5877,,Financial services,Suite 21,168 Melbourne St,North Adelaide,SA,5006,Australia,Suite 21,168 Melbourne St,North Adelaide,SA,5006,Australia,,,,,Active,
148,1,BDO Wealth Management,,02-9286-5494,www.bdo.com.au,Financial services,Level 19,2 Market Street,Sydney,NSW,2000,Australia,Level 19,2 Market Street,Sydney,NSW,2000,Australia,,,,,Active,
149,1,Beam Accounting,,08-8523-3258,,Financial services,4 Crace Court,,Evanston Park,SA,5116,Australia,4 Crace Court,,Evanston Park,SA,5116,Australia,,,,,Active,
150,1,Bean Crunchers,,08-8357-8883,,Financial services,180a Goodwood Road,,Millswood,SA,5034,Australia,180a Goodwood Road,,Millswood,SA,5034,Australia,,,,,Active,
151,1,Beasley Pool Heating,,08-8349-4333,,Building and construction,357 Main North Road,,Enfield,SA,5085,Australia,357 Main North Road,,Enfield,SA,5085,Australia,,,,,Active,
152,1,Beattie Transport Pty Ltd,,08-8169-1300,,Transport and logistics,25 Sharp Court,,Cavan,SA,5094,Australia,25 Sharp Court,,Cavan,SA,5094,Australia,,Parent,Beattie Transport Pty Ltd,152,Active,
153,1,Beck Brothers Pty Ltd,,,,Retailing,PO Box 182,,Streaky Bay,SA,5680,Australia,PO Box 182,,Streaky Bay,SA,5680,Australia,,,,,Active,
154,1,Beg Feat Coaching Pty Ltd,,08-8354-2333,www.bigfeatcoaching.com.au,Education/ training provider,No 15 Building 24,24 Stirling Street,Thebarton,SA,5031,Australia,No 15 Building 24,24 Stirling Street,Thebarton,SA,5031,Australia,,,,,Active,
155,1,Belle Property,,02-9565-1625,www.belleproperty.com.au,Real estate/ property developer,2/10 Mallett Street,,Camperdown,NSW,2050,Australia,2/10 Mallett Street,,Camperdown,NSW,2050,Australia,,,,,Active,
156,1,Belperio Clark,,08-8212-1322,,Professional services,11 Halifax Street,,Adelaide,SA,5000,Australia,11 Halifax Street,,Adelaide,SA,5000,Australia,,,,,Active,
157,1,Bendigo Bank,,,,Bank,,,,,,,,,,,,,,,,,Active,
158,1,Benleigh Vending,,08-8346-4484,,Retailing,,,,,,,,,,,,,,,,,Active,
159,1,Bernie O'Sullivan Lawyers,,03-9091-6930,www.boslawyers.com.au,Professional services,(MOVED NATA),13/350 Collins Street,Melbourne,Vic,3000,Australia,(MOVED NATA),13/350 Collins Street,Melbourne,Vic,3000,Australia,,,,,Active,
160,1,Bertram & Co,,,,Conveyancer,,,,,,,,,,,,,,,,,Active,
