ID,InvoiceID_Fk,Payment Date,Payment Amount,Payment Method
11,,,,
26,1760,21/11/2014,1760,by cheque
28,1747,26/11/2014,2628,Cheque
29,1005,07/11/2014,1320,EFT
30,1853,06/01/2015,12300,Trust Account
31,1810,30/12/2014,385,EFT
32,1006,09/12/2014,4207.5,EFT
33,1770,05/01/2015,1100,Cheque
34,1817,22/12/2014,9693.75,Credit card
35,1792,09/12/2014,346.5,BPAY
36,1795,16/12/2014,550,EFT
37,1802,15/12/2014,1100,BPAY
38,1803,15/12/2014,2420,BPAY
39,1809,15/12/2014,940.5,BPAY
40,1800,05/12/2014,2759,EFT
41,1862,15/01/2015,856,Trust Account
42,1767,25/11/2014,1930.5,BPAY
43,1751,25/11/2014,9788,BPAY
44,1748,13/01/2015,2678,BPAY
45,1808,16/01/2015,2475,BPAY
46,1826,16/01/2015,9091.5,Cheque
47,1739,12/01/2014,1782,Credit card
48,1741,18/12/2014,3168,Credit card
49,1742,09/01/2015,1650,Cheque
50,1736,08/12/2014,4973.1,BPAY
51,1737,28/11/2014,880,EFT
52,1745,28/11/2014,440,EFT
53,1744,08/12/2014,880,BPAY
54,1755,21/11/2014,3080,EFT
55,1752,02/12/2014,440,BPAY
56,1766,31/12/2014,9553.5,BPAY
57,1769,17/12/2014,660,BPAY
58,1796,03/12/2014,897,BPAY
59,1812,12/01/2015,104.5,BPAY
60,1816,14/01/2015,660,Cheque
61,1873,20/01/2015,104.5,BPAY
62,1841,20/01/2015,330,EFT
63,1837,21/01/2015,990,Cheque
64,1830,22/01/2015,528,EFT
65,1840,27/01/2015,110,EFT
66,1856,27/01/2015,1028,EFT
67,1878,27/01/2015,4262.5,EFT
68,1820,27/01/2015,1980,EFT
69,1860,28/01/2015,660,EFT
70,1882,28/01/2015,0,EFT
71,1859,28/01/2015,1540,BPAY
72,1758,27/11/2014,777,Cheque
73,1759,27/11/2014,220,Cheque
74,1771,18/12/2014,247.5,BPAY
75,1867,29/01/2015,1320,EFT
76,1844,29/01/2015,2420,EFT
77,1793,19/01/2015,849.26,eft
78,1794,11/12/2014,632.5,EFT
79,1804,20/01/2015,275,EFT
80,1813,16/01/2015,355.5,Credit card
81,1813,19/01/2015,355.5,Credit card
82,1814,22/12/2014,3410,EFT
83,1815,22/12/2014,1518,EFT
84,1824,05/01/2015,1980,Cheque
85,1827,15/01/2015,880,Cash
86,1835,19/01/2015,10906.35,BPAY
87,1838,20/01/2015,1098,Credit card
88,1843,22/01/2015,3767.5,BPAY
89,1849,08/01/2015,2749.14,Cash
90,1852,08/01/2015,2657,Cash
91,1854,06/01/2015,3877.5,Credit card
92,1855,23/01/2015,1485,Cheque
93,1862,22/01/2015,107,BPAY
94,1875,23/01/2015,1447,Cash
95,1882,28/01/2015,104.5,EFT
